City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
236,Souillac,MU,2022-07-25 22:26:04,-20.5167,57.5167,68.38,88,40,9.22,scattered clouds
237,Benguela,AO,2022-07-25 22:28:13,-12.5763,13.4055,70.47,81,100,4.16,overcast clouds
238,Miyako,JP,2022-07-25 22:28:13,39.6367,141.9525,75.16,86,33,1.57,scattered clouds
239,Awjilah,LY,2022-07-25 22:28:13,29.1081,21.2869,88.3,22,0,17.07,clear sky
240,Les Cayes,HT,2022-07-25 22:28:14,18.2,-73.75,84.38,61,3,8.43,clear sky
241,Charlottesville,US,2022-07-25 22:26:36,38.0293,-78.4767,85.08,90,40,10.36,scattered clouds
242,Tateyama,JP,2022-07-25 22:28:14,34.9833,139.8667,79.11,88,100,17.67,overcast clouds
243,Bukachacha,RU,2022-07-25 22:28:15,52.9833,116.9167,61.5,95,42,4.05,scattered clouds
244,Sarangani,PH,2022-07-25 22:28:15,5.4033,125.4636,81.61,78,98,4.47,overcast clouds
245,Bajil,YE,2022-07-25 22:28:15,15.0584,43.2851,87.19,64,100,3.0,overcast clouds
246,Santa Cruz Cabralia,BR,2022-07-25 22:28:16,-16.2781,-39.0247,70.03,88,20,2.3,few clouds
247,Tautira,PF,2022-07-25 22:26:01,-17.7333,-149.15,74.16,91,99,7.02,heavy intensity rain
248,Yulara,AU,2022-07-25 22:25:28,-25.2406,130.9889,43.81,67,0,10.69,clear sky
249,Dongsheng,CN,2022-07-25 22:28:17,39.8161,109.9776,69.94,74,80,11.3,moderate rain
250,Terbuny,RU,2022-07-25 22:28:17,52.1389,38.2789,61.93,95,100,7.07,overcast clouds
251,Airai,TL,2022-07-25 22:24:24,-8.9266,125.4092,54.36,72,21,3.53,few clouds
252,Namibe,AO,2022-07-25 22:28:18,-15.1961,12.1522,62.92,81,3,7.87,clear sky
253,Asifabad,IN,2022-07-25 22:28:18,19.3667,79.2833,76.28,91,100,3.09,light rain
254,Springbok,ZA,2022-07-25 22:26:44,-29.6643,17.8865,54.75,30,0,6.11,clear sky
255,Kuching,MY,2022-07-25 22:28:19,1.55,110.3333,75.42,100,40,3.0,scattered clouds
256,Upernavik,GL,2022-07-25 22:26:25,72.7868,-56.1549,39.42,90,45,12.19,scattered clouds
257,Nabire,ID,2022-07-25 22:28:14,-3.3667,135.4833,75.36,92,100,2.89,overcast clouds
258,Ketchikan,US,2022-07-25 22:26:43,55.3422,-131.6461,66.67,68,75,10.36,broken clouds
259,Marsa Matruh,EG,2022-07-25 22:28:20,31.3525,27.2453,77.2,83,0,10.36,clear sky
